,title,link,description
22,코로나19 백신 개발 현황과 국제공조,http://academic.naver.com/article.naver?doc_id=606885102,"목차
코로나19 백신 개발 현황과 국제공조 / 송만기 1
 [머리글] 1
 향후 백신 개발 진행 전망 2
 백신"
23,혈액공급난 극복 10만 장병 팔 걷었다 : 코로나19 악재로 혈액 보유량 '비,http://academic.naver.com/article.naver?doc_id=638381462,"목차
혈액공급난 극복 10만 장병 팔 걷었다 : 코로나19 악재로 혈액 보유량 '비상' / 윤병노 1
 [본문] 1"
24,코로나19 상황 속 북경 생활기 : 주재관 리포트,http://academic.naver.com/article.naver?doc_id=612516591,"목차
코로나19 상황 속 북경 생활기 : 주재관 리포트 / 김형진 1
 [머리글] 1
 아파트 출입 통제하고 식"
25,코로나19 2차 대유행 대비·지역보건의 역할 등 주제로 토론회 열려 : 일,http://academic.naver.com/article.naver?doc_id=638282798,"목차
코로나19 2차 대유행 대비·지역보건의 역할 등 주제로 토론회 열려 : 일하는 국회 공부하는 국"
26,중국의 코로나19 대응 분석: 중앙의 지도체계와 선전 활동을 중심으로,http://academic.naver.com/article.naver?doc_id=645565057,China’s Countermeasures for Covid-19: Focus on Central Leading Organs and Policy Propaganda 이 논문은 중국이 코로나19에
27,코로나19 바이러스가 부동산 임대 계약에 미친 영향—코로나19 바이러스,http://academic.naver.com/article.naver?doc_id=630762801,The influence of COVID-19 on housing lease contract - The debate and thinking caused by the legal nature of COVID-19 중국의 코로
28,"농작물 자연재해, 코로나19 등 주제로 토론회 열려 : 일하는 국회·공부하",http://academic.naver.com/article.naver?doc_id=645563072,"목차
농작물 자연재해, 코로나19 등 주제로 토론회 열려 : 일하는 국회·공부하는 국회 / 윤성혜 1
 '농"
29,"국군대구병원, 코로나19 환자 치료 시작 : 국가 감염병 전담병원으로 확",http://academic.naver.com/article.naver?doc_id=638381446,"목차
국군대구병원, 코로나19 환자 치료 시작 : 국가 감염병 전담병원으로 확대 / 윤병노 1
 [본문] 1"
30,"&quot;코로나19 최전선 장병들이 진정한 영웅&quot; : 정경두 장관, 방역 현장 방문",http://academic.naver.com/article.naver?doc_id=638381445,"목차
코로나19 최전선 장병들이 진정한 영웅 : 정경두 장관, 방역 현장 방문 / 맹수열 1
 [본문] 1 코로"
31,중국은 어떻게 코로나19의 통제에 성공했나?,http://academic.naver.com/article.naver?doc_id=648047550,How Can China Succeed in Constraining the Covid-19: Focus on the Activities of Hubei Province and Wuhan City 이 논문은 중국에서
32,코로나19 감염병 사태와 신남방정책:아세안을 중심으로,http://academic.naver.com/article.naver?doc_id=645486369,"COVID-19, ASEAN Community, and New Southern Policy 코로나19 사태는 역내 보건 안보의 위협 요인이자 신남방정책의"
33,"&quot;코로나19 상황 장기화 대비 선제 대응해야&quot; : 정경두 장관, 의무사 현장",http://academic.naver.com/article.naver?doc_id=638381443,"목차
코로나19 상황 장기화 대비 선제 대응해야 : 정경두 장관, 의무사 현장 방문 / 윤병노 1
 [본문] 1"
34,"국회, 2차 추경 관련 국무총리 시정연설 : &quot;코로나19 대응 긴급재난지원금",http://academic.naver.com/article.naver?doc_id=612516610,"목차
국회, 2차 추경 관련 국무총리 시정연설 : &quot;코로나19 대응 긴급재난지원금 즉각 집행 중요&quot; / 국"
35,코로나19 팬데믹에 따른 식량안보 영향과 전망,http://academic.naver.com/article.naver?doc_id=648047499,Food Security Impact and Prospects from COVID-19 Pandemic 본 연구의 목적은 코로나19 팬데믹에 따른 다양한 위기 중
36,코로나19에 긴장하는 북한 : 사면초가 김정은의 선택 뭘까,http://academic.naver.com/article.naver?doc_id=638381379,"목차
코로나19에 긴장하는 북한 : 사면초가 김정은의 선택 뭘까 / 이영종 1
 [본문] 1 코로나19, 북·중"
37,“코로나19 재확산으로 소득이 감소한 특고·프리랜서의 생계안정을 지,http://academic.naver.com/article.naver?doc_id=647979490,
38,포스트코로나 시대 접경지역 발전 전략,http://academic.naver.com/article.naver?doc_id=647712336,Promoting Strategies for the Border Region in Post-COVID Era 코로나 바이러스 사태로 글로벌 환경이 급변하고 있는
39,신용카드 빅데이터를 활용한 코로나19 발생의 지역상권 영향 분석,http://academic.naver.com/article.naver?doc_id=647972724,Analysis of the Impact of COVID-19 on Local Market Areas Using Credit Card Big Data: A Case of Suwon 본 연구는 수원시를 대상
40,코로나19와 한국의 글로벌가치사슬(GVC) 변화,http://academic.naver.com/article.naver?doc_id=647712357,COVID-19 and Changes in Global Value Chains of Korea 본 연구의 목적은 코로나19의 확산에 따른 한국의 무역 및 산
41,2월 임시국회 개회 : 코로나바이러스감염증-19 대응 등 민생 중심으로,http://academic.naver.com/article.naver?doc_id=605532139,"목차
2월 임시국회 개회 : 코로나바이러스감염증-19 대응 등 민생 중심으로 / 국회보 1
 [본문] 1 코로"
42,"국회, 코로나19 대책 등 논의 및 대법관 인사청문회 개최 : 위원회는 지금",http://academic.naver.com/article.naver?doc_id=605532153,"목차
국회, 코로나19 대책 등 논의 및 대법관 인사청문회 개최 : 위원회는 지금 / 박민선 1
 외교통일"
43,교회의 5대 본질적 기능 재고찰을 통한 포스트 코로나 교회론,http://academic.naver.com/article.naver?doc_id=648023064,Post Covid-19 Ecclesiology through a Review of the Five Essential Functions of the Church 코로나19 사태 이후 세상의 지형은
44,"코로나19, 중국은 책임이 있는가 : 국제여론 동향과 중국의 대응",http://academic.naver.com/article.naver?doc_id=630805672,"목차
코로나19, 중국은 책임이 있는가 : 국제여론 동향과 중국의 대응 / 김선재 ; 김현주 1
 [title] 1
 차"
45,"국가의 거리: 코로나19와 장애인의 삶, 그 현황과 대책",http://academic.naver.com/article.naver?doc_id=645449943,COVID-19 and the Lives of Disabled Persons: The Current Status and Countermeasures 이 논문은 한국에서 코로나19 위기가 장
46,코로나19 확산시기 서울시 외국인 밀집지역의 지역특성과 생활인구 변화,http://academic.naver.com/article.naver?doc_id=647972763,Mapping Community-level Mobility Changes of Koreans and Immigrants Using Bigdata of “de Facto Population of Seoul”: Six Ethnic Encl
47,중국은 어떻게 코로나19의 통제에 성공했나?: 후베이성과 우한시의 활동,http://academic.naver.com/article.naver?doc_id=647256331,How Can China Succeed in Constraining the Covid-19: Focus on the Activities of Hubei Province and Wuhan City 이 논문은 중국에서
48,코로나위기에서의 온라인수업에 대한 대학생의 인식유형 연구,http://academic.naver.com/article.naver?doc_id=647245501,"In the COVID-19 crisis, A Study on the Types of Perceptions on Online Classes of College Students 본 연구는 코로나위기로 대"
49,신용카드 빅데이터를 활용한 코로나19 발생의 지역상권 영향 분석: 수원,http://academic.naver.com/article.naver?doc_id=647734884,Analysis of the Impact of COVID-19 on Local Market Areas Using Credit Card Big Data: A Case of Suwon 본 연구는 수원시를 대상
50,독일의 코로나계약법,http://academic.naver.com/article.naver?doc_id=630777189,"Das deutsche Coronavertragsrecht  Ⅰ. 들어가며

Ⅱ. 코로나계약법의 입법 경위, 주요 내용 및 입법취지

Ⅲ. 소"
51,코로나19 확산시기 서울시 외국인 밀집지역의 지역특성과 생활인구 변화,http://academic.naver.com/article.naver?doc_id=647734879,Mapping Community-level Mobility Changes of Koreans and Immigrants Using Bigdata of “de Facto Population of Seoul”: Six Ethnic Encl
52,코로나 19 사태 이후 사회복지정책의 변화 논의,http://academic.naver.com/article.naver?doc_id=645412481,Discussions on changes in social welfare policies after the Corona 19 Incident : Focusing on system and components 우리는 이번 코
53,코로나 19(Covid 19) 상황에서 한국교회의 대처에 관한 연구,http://academic.naver.com/article.naver?doc_id=648047474,A Study on Response of the Korean Church in the Situation of Covid 19: Focusing on Worship and Mission ‘예배출석은 곧 교회
54,코로나19 대응조치에 관한 공공도서관 사서인식 조사연구,http://academic.naver.com/article.naver?doc_id=647191033,A Study on the Librarians’ Perception of Public Library about the Response to the COVID-19 코로나19 대유행이 장기화됨에
55,코로나위기에서의 온라인수업에 대한 대학생의 인식유형 연구,http://academic.naver.com/article.naver?doc_id=647230145,"In the COVID-19 crisis, A Study on the Types of Perceptions on Online Classes of College Students 본 연구는  코로나위기로 대"
56,포스트 코로나 시대 뮤지엄 온라인 전시 유형에 관한 연구,http://academic.naver.com/article.naver?doc_id=647653636,The Types of Online Museum Exhibitions on the Post COVID-19 Era 본  연구는 코로나바이러스의 전 세계적인 팬데믹 상
57,코로나19 팬데믹(pandemic)과 복지국가의 정치경제학: 위기 이후 복지국가,http://academic.naver.com/article.naver?doc_id=645448759,Political Economy of the COVID-19 Pandemic and Welfare State 본 논문은 코로나19 팬데믹 이후의 복지국가의 경로를
58,코로나19(COVID-19) 이후 한부모 가족의주거 스트레스 영향요인,http://academic.naver.com/article.naver?doc_id=647245309,Analysis of Factors Influencing Rsidential Stress In Single Parent Families After COVID-19 코로나19(COVID-19) 이후 주거환경의
59,코로나 19와 부동산 감정평가,http://academic.naver.com/article.naver?doc_id=645415503,"The Effects of COVID-19 on Real Estate Appraisal 이 글은 코로나 19가 부동산 시장에 미치는 영향을 예상하고, 부"
60,미디어 이슈를 통해 본 포스트 코로나 시대의 도서관 서비스 연구,http://academic.naver.com/article.naver?doc_id=647188579,A Study on Library Service in the Post-COVID Era through Issues on Media 본 연구는 최근 코로나바이러스감염증-19(코로
61,빅데이터로 살펴본 코로나19와 보건복지 융합서비스,http://academic.naver.com/article.naver?doc_id=647681545,"1. 워드클라우드로 바라본 코로나19

2. 감성분석으로 바라본 코로나19

3. 보건복지 융합 사례"
62,코로나19로 인한 자동차 산업 영향과 글로벌 공급망 다변화에 대한 효과,http://academic.naver.com/article.naver?doc_id=647681582,Analysis of the Impact and Global SCM Diversification on the Automotive Industry caused by COVID19 코로나19는 사람뿐만 아니
63,포스트코로나 시대의 도시계획: 휴머니즘 시각의 재고,http://academic.naver.com/article.naver?doc_id=647712355,Urban Planning in Post-COVID-19 Era: Humanist Perspective R evisited 코로나19로 인해 우리는 큰 혼란에 빠져있다. 누구
64,코로나19 감염병 대응에서의 소방의 역할,http://academic.naver.com/article.naver?doc_id=645884921,The Role of Firefighting in Response to COVID-19 Infectious Disease 연구목적: 코로나19 대응과 관련하여 전 세계적으
65,코로나 19 팬더믹과 부동산 시장의 변화,http://academic.naver.com/article.naver?doc_id=645415283,The Effects of COVID-19 Pandemic on Real Estate Market 이 글은 코로나 19 확산이 부동산시장에 미치는 영향을 예상
66,코로나19가 경제에 미치는 영향 분석,http://academic.naver.com/article.naver?doc_id=647941722,"An Analysis of the Economic Impact of Corona 19 in Korea  Abstract
I. 서론
II. 연구의 흐름
III. 연구모형
	1. 개요
	2. 개"
67,포스트 코로나 시대의 정부역할과 시민문화,http://academic.naver.com/article.naver?doc_id=647666213,The revisited government-citizenship relationship in the post-COVID-19 period 오늘날 전 세계인들은 코로나19로 인해 공
68,포스트 코로나 시대의 지속가능 패션 소비,http://academic.naver.com/article.naver?doc_id=648023910,Sustainable Fashion Consumption in the Post-COVID-19 Era 본 연구의 목적은 코로나19 이후 예견되는 지속가능 패션
69,독일 온라인신문의 기사제목과 리드에 담긴 ‘코로나 담화’의 분석,http://academic.naver.com/article.naver?doc_id=647189907,Eine Analyse des Corona-Diskurses anhand von Überschriften und Leadlines in deutschen Online-Zeitungen 본 연구에서 코로나 담
70,‘사회’는 코로나-19에 대처할 수 있는가?,http://academic.naver.com/article.naver?doc_id=647972791,How Does a Society Cope with COVID-19 Pandemic?: Observing the Possibility of Society and Changes of Social Systems 이 글은 코로
71,코로나19의 생명․연구윤리적 성찰-중국 사례를 중심으로,http://academic.naver.com/article.naver?doc_id=648022709,Bioethics and Research Ethics Reflection of Covid-19 : Focusing on the Chinese Case 코로나19와 같은 바이러스는 앞으로 더
72,코로나 19(Covid 19) 상황에서 한국교회의 대처에 관한 연구: 예배와 선교를,http://academic.naver.com/article.naver?doc_id=647756499,A Study on Response of the Korean Church in the Situation of Covid 19: Focusing on Worship and Mission ‘예배출석은 곧 교회
73,코로나19 사태에서 국가의 정보통신기반 구축·보호 책임에 대한 시론적,http://academic.naver.com/article.naver?doc_id=645371396,A Preliminary Study on State Responsibility for Establishment and Protection of Information and Telecommunication Infrastructure in COV
74,대학의 코로나-19 초기 대응과 수업 만족도 평가,http://academic.naver.com/article.naver?doc_id=648383142,An early assessment on Korean universities’ response to COVID-19: A case of KNU’s untact class evaluation 이 논문은 코로나19
75,코로나19 이후 미·중 갈등과 국제질서의 변화 전망,http://academic.naver.com/article.naver?doc_id=645412482,Prospects for Conflict between the U.S. and China after COVID-19 and Changes in International Order 본 연구의 목적은 코로나19
76,국가의 감염병 대응역량 강화를 위한 '코로나 3법' 개정 : 감염병예방법,http://academic.naver.com/article.naver?doc_id=643875635,"목차
국가의 감염병 대응역량 강화를 위한 '코로나 3법' 개정 : 감염병예방법을 중심으로 / 김나영 1"
77,"스웨덴의 코로나19, 정책대응과 미스매치",http://academic.naver.com/article.naver?doc_id=647972790,Policy Response against COVID-19 and Mismatches: A Swedish Case 코로나19 위기에 대응하여 스웨덴은 강성규제방식 대
78,중국의 코로나19 사태와 사회 체제의 신뢰 위기,http://academic.naver.com/article.naver?doc_id=647694798,China's COVID-19 Epidemic and a Crisis of Trust in the Social System 중국의 우한에서부터 확산되기 시작한 코로나19
79,코로나(COVID-19) 사태의 장기화로 인한 스트레스 수준은 모든 소비자가 동,http://academic.naver.com/article.naver?doc_id=645728086,COVID-19 Stress: Is the level of COVID-19 stress same for everybody? - Segmentation approach based on COVID-19 Stress level 최근 코
80,뉴노멀 코로나 위기관리 거버넌스,http://academic.naver.com/article.naver?doc_id=647943908,"New Normal COVID Crisis Management Governance 오늘날 행정(학)이론의 적실성, 실천성, 민주성에 대한 자기 성찰과"
81,"코로나19 관광부문 영향과 이슈, 그리고 데이터 댐 구축",http://academic.naver.com/article.naver?doc_id=647030378,"코로나19의 문화관광 부문 영향
코로나19 주요 이슈와 과제
문화·관광·콘텐츠 통합데이터 댐 구축"
82,포스트 코로나에 대응하는 정부의 혁신적인 관광정책 연구,http://academic.naver.com/article.naver?doc_id=647992742,Government's Innovative Tourism Policy Research in Response to Post-COVID-19 코로나 19 바이러스로 인한 관광산업의 충격
83,"코로나19가 여자 핸드볼 선수들의 등속성 근기능, 무산소성 운동능력 및",http://academic.naver.com/article.naver?doc_id=647665957,"The Effect of COVID19 on Isokinetic Muscle Function, Anaerobic Exercise Ability and Basic Fitness in Female Handball Players 본 연구"
84,코로나-19 사회적 사태를 경험한 65세 이상 노인들의 정서적 변화에 대한,http://academic.naver.com/article.naver?doc_id=645565403,A Phenomenological Study on the Emotional Change of the Elderly Aged 65 and older who Experienced COVID-19 Social Situation 본 연구
85,코로나 19상황에서 대학신입생들의 자아탄력성 정도에 따른 우울감과 심,http://academic.naver.com/article.naver?doc_id=645510825,Differences in depression and psychological emotions according to the degree of self-elasticity of college freshmen in COVID-19 본 연
86,포스트 코로나바이러스 시대의 죽음 이해: 하이데거와 사르트르를 중심,http://academic.naver.com/article.naver?doc_id=647701648,Understanding of Death in the Post-COVID 19 Era: Focusing on Heidegger and Sartre 본 논문은 포스트 코로나바이러스 시대
87,‘사회’는 코로나-19에 대처할 수 있는가?: 사회의 가능성과 변화에 대,http://academic.naver.com/article.naver?doc_id=647734865,How Does a Society Cope with COVID-19 Pandemic?: Observing the Possibility of Society and Changes of Social Systems 이 글은 코로
88,코로나19와 신흥안보의 복합지정학 : 팬데믹의 창발과 세계정치의 변환,http://academic.naver.com/article.naver?doc_id=647255960,COVID-19 and the Complex Geopolitics of Emerging Security : The Emergence of Pandemic and the Transformation of World Politics 2020년
89,[국제리뷰] 코로나19 최전선의 여성들과 돌봄 위기: 새롭고도 오래된 과,http://academic.naver.com/article.naver?doc_id=647681356,"1. 코로나에 남녀가 어디 있는가?

2. 코로나19 최전선과 여성의 임금 노동

3. 또 하나의 코로나19 최전"
90,코로나19의 사회영향과 SDGs 대응과제,http://academic.naver.com/article.naver?doc_id=645526198,Social Impacts of COVID-19 and SDGs Policy Issues 전세계는 코로나19 펜데믹을 겪으며 국제관계와 세계화의 새로
91,코로나-19와 지구화의 변화,http://academic.naver.com/article.naver?doc_id=647188203,COVID-19’s Impacts on Globalization 전염병의 역사와 코로나-19 관련 정보를 종합하면 코로나-19가 인류사의
92,코로나19(COVID-19) 비대면 온라인 학습 참여자의 자기통제력 예측요인,http://academic.naver.com/article.naver?doc_id=647188548,Predictors of Self-control in Covid-19 non-face-to-face online learning participate 본 연구는 코로나19(COVID-19) 비대면 온
93,코로나19 사태에 따른 EU 회원국의 공동국채 발행에 관한 논쟁: 유로본드,http://academic.naver.com/article.naver?doc_id=648013145,Exploring a Common Debt Instruments in COVID-19 Pandemic: Empirical Analysis of Determinants of Support to Eurobond 이 연구는 EU
94,코로나 19 팬데믹 경제위기의 특성과 원인 그리고 전망,http://academic.naver.com/article.naver?doc_id=647701621,Characteristics and Causes of COVID-19 Pandemic Economic Crisis and Its Prospects &quot;본 논문은 2019년 발생하여 2020년 현재
95,포스트 코로나 시대의 비교과 프로그램 운영 사례 연구,http://academic.naver.com/article.naver?doc_id=647681538,"1. 서론

2. 영국 PSHE 수업과 내용체계

3. 포스트 코로나 시대의 영국 PSHE 수업의 사례 분석

4. 결론"
96,「코로나19 긴급 고용안정지원금」 6월 22일부터는 고용센터에서도 신청,http://academic.naver.com/article.naver?doc_id=638381100,
97,코로나19 해외여행 불편 경험에 대한 여행자 반응 탐구: 소셜 빅데이터,http://academic.naver.com/article.naver?doc_id=647191156,Traveler response to COVID-19 induced inconvenient overseas travel experiences: A social big data content analysis 본 연구는 소셜
98,"스웨덴의 코로나19, 정책대응과 미스매치",http://academic.naver.com/article.naver?doc_id=647734930,Policy Response against COVID-19 and Mismatches: A Swedish Case 코로나19 위기에 대응하여 스웨덴은 강성규제방식 대
99,"「코로나19 긴급 고용안정지원금」, 누리집(covid19.ei.go.kr)에서 신청하세",http://academic.naver.com/article.naver?doc_id=638381196,
